Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Bryan Flannagan,806.0,825.0,833.0,833.1870799999999,848.20267,882.99027,1059.97505
William Galloway,94.0,0.0,0.0,0.0,0.0,0.0,0.0
Linda Hendry,125.0,150.0,0.0,0.0,0.0,0.0,0.0
Chris Kane,751.0,768.0,797.0,797.73273,1153.84186,947.0,947.0
Alison Laurie,916.0,920.0,962.0,947.0,947.0,947.0,947.0
Corrie Mcchord,416.0,427.0,440.0,440.28062,0.0,0.0,0.0
Gerry Mclaughlan,678.0,680.0,705.0,717.9397,739.01765,774.76572,0.0
