Candidate,Round 1,Round 2
Graeme Bruce,3083.0,2264.0
Emma Farthing,560.0,607.817
Neil Gardiner,2382.0,2382.0
Ricky Henderson,2334.0,2334.0
Ernesta Noreikiene,880.0,887.9694999999999
Susan Webber,1587.0,2293.89465
Evelyn Weston,489.0,499.36035
