Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Roberta Bianchini,619.0,625.08883,627.08883,637.5466799999999,0.0,0.0,0.0
Brandon Clydesdale,655.0,666.6241299999999,682.5466799999999,720.13435,729.50337,749.11617,0.0
Jean Mcclung,900.0,914.0227600000004,914.0227600000003,935.2482600000001,1508.2300300000002,1043.0,1043.0
Ronnie Mcnicol,570.0,599.5215999999998,612.6286599999999,677.6081099999999,696.97713,860.63502,1175.21723
Jim Montgomerie,1279.0,1043.0,1043.0,1043.0,1043.0,1043.0,1043.0
Valerie Reid,100.0,240.0430900000001,249.22760000000005,0.0,0.0,0.0,0.0
Caroline Santos,46.0,48.21412000000001,0.0,0.0,0.0,0.0,0.0
