Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Kenneth John Earle,877.0,761.0,761.0,761.0,761.0,761.0,761.0
Ellen Forson,800.0,800.0,761.0,761.0,761.0,761.0,761.0
Craig Holden,643.0,662.0454399999998,697.48669,700.79421,720.31017,747.21099,799.59987
William Marlin,629.0,653.33584,653.48209,654.2176800000001,657.93674,687.97736,0.0
Bryan Quinn,742.0,767.9229599999998,767.9229599999998,761.0,761.0,761.0,761.0
Matthew Reilly,44.0,46.645199999999996,47.03519999999999,47.29037,0.0,0.0,0.0
Hugh Van Lierop,68.0,77.39046,77.92670999999999,78.51253,92.13881,0.0,0.0
