Candidate,Round 1,Round 2
Robert Brown,1686.0,1686.0
Margaret Cowie,1331.0,1436.03231
Alexandra Herdman,489.0,495.22891
Carol Nugent,1825.0,1433.0
Michael O'Hara,73.0,85.02824000000001
Spencer Hugh Pryor,62.0,73.81345
Emma Jane Nicola Smith,263.0,436.76510999999994
