Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Maureen Bennison,718.0,722.0,725.2234000000001,765.27788,779.3187399999999,813.1348399999999,913.88043
Margaret Brisley,837.0,854.0,854.28148,871.2860199999999,1093.33142,876.0,876.0
Gordon Bruce,62.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Henke,640.0,653.0,653.06356,662.0681,683.0817199999999,723.4329299999999,0.0
Alasdair Macpherson,871.0,880.0,876.0,876.0,876.0,876.0,876.0
Jennifer Tollemache,104.0,113.0,113.10442,0.0,0.0,0.0,0.0
Violet Weir,271.0,274.0,274.14074,292.15436,0.0,0.0,0.0
