Candidate,Round 1
John Burleigh,171.0
Martin Mccluskey,1247.0
Christopher William Mceleny,126.0
Lynne Quinn,1440.0
Sandra Reynolds,1271.0
Ted Runciman,453.0
William Wilson,66.0
