Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Pamela Barnes,123.0,127.75019999999998,161.5419,0.0,0.0,0.0
Kenneth Brown,124.0,127.00845999999997,0.0,0.0,0.0,0.0
Pauline Clark,1012.0,1022.4504399999997,1034.76712,1078.55882,1780.82554,1366.0
David Dodds,1623.0,1366.0,1366.0,1366.0,1366.0,1366.0
Marion Kerr,832.0,842.45044,866.60878,892.0838000000001,896.40048,919.68282
Greg Mccarra,783.0,787.4335199999999,793.7502000000001,817.38356,0.0,0.0
Cathy Muldoon,966.0,1170.41694,1206.20864,1232.58374,1293.16714,1416.75144
