Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Tom Ferguson,565.0,574.3316199999999,582.3820200000002,584.38202,597.52718,623.6458400000001,673.3873999999998,0.0,0.0,0.0
Leah Ganley,102.0,104.10714,108.05605999999996,110.05605999999995,112.20861999999997,0.0,0.0,0.0,0.0,0.0
Lynn Hutchison,91.0,91.60203999999999,92.20563999999999,106.54497999999998,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Malone,924.0,933.3316199999998,940.3437,943.69064,959.85876,993.42714,1020.9800799999999,1217.6514000000002,1161.0,1161.0
Michael Marra,778.0,785.5254999999999,793.1914599999999,794.48918,812.81316,819.4152,848.36454,968.46384,1012.53674,1241.81802
Gordon William Matheson,132.0,137.41835999999998,163.64751999999982,166.24625999999984,185.78837999999993,206.54043999999996,0.0,0.0,0.0,0.0
Mason Mcilreavy,700.0,702.40816,703.9123199999999,708.18708,724.4881,728.4881,739.20904,813.18178,814.95316,0.0
Kirsty Anne Mckenzie,31.0,32.5051,35.108300000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Ross,1661.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0
Roisin Smith,818.0,1256.8871599999989,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0
