Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Brian Burnett,111.0,114.9996,118.09050000000002,0.0,0.0,0.0,0.0,0.0
Kieron Green,485.0,515.8150999999997,519.2695999999996,563.2694999999999,600.5420999999999,676.9963,764.178,796.996
Neil Mackay,182.0,189.54470000000006,210.27190000000004,222.3627000000001,262.4534000000001,0.0,0.0,0.0
Julie Mckenzie,690.0,694.6359000000003,698.6359000000003,704.8177000000003,717.0904000000003,754.8176,829.1812,1356.4537
Allan Mckie,62.0,64.2725,0.0,0.0,0.0,0.0,0.0,0.0
William Mohieddeen,304.0,307.45420000000007,308.45420000000007,320.6360000000001,327.90870000000007,342.3632,0.0,0.0
Grant Nicholson,154.0,159.18130000000002,166.72670000000002,176.90850000000006,0.0,0.0,0.0,0.0
Elaine Robertson,913.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0
Breege Smyth,538.0,543.0903999999998,546.0903999999999,548.1813,562.1812999999999,581.5448999999999,647.1812,0.0
Andrew Vennard,710.0,721.817,727.9078999999999,746.5441999999999,769.3623,789.6349,814.0894,828.3621
