Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Tracey Dinner,57.0,61.469759999999994,61.469759999999994,70.60943999999999,73.60943999999999,73.70412,80.40581,0.0,0.0
Iain Maclean Macaulay,242.0,252.05695999999998,256.47599999999994,258.89504,271.89504,271.0,271.0,271.0,271.0
Malcolm Kenneth Macdonald,201.0,210.77759999999995,213.33631999999994,215.47599999999997,226.476,226.69047,242.70737,264.53488,327.96717
Duncan Macinnes,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Calum Barney Mackay,134.0,137.49199999999996,138.63167999999996,140.91103999999999,147.46975999999998,147.63786,162.34658000000002,179.47763,0.0
John Murdo Macmillan,12.0,13.396800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxi Macneill,23.0,24.815839999999998,24.815839999999998,0.0,0.0,0.0,0.0,0.0,0.0
Willie Macrae,44.0,45.676159999999996,45.815839999999994,48.95552,0.0,0.0,0.0,0.0,0.0
Malcolm Ivor Mctaggart,55.0,57.23487999999998,60.23487999999999,62.653919999999985,64.7936,64.91758,0.0,0.0,0.0
Gordon Murray,315.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
