Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Jo Cockburn,399.0,402.0,406.0,406.0703500000001,418.0710200000002,460.0730300000001,0.0,0.0,0.0,0.0
Graeme James Downie,1482.0,1487.0,1492.0,1491.0,1491.0,1491.0,1491.0,1491.0,1491.0,1491.0
William Gavin,83.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin James Keatings,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Mccutcheon,246.0,251.0,264.0,264.02211,273.02211,0.0,0.0,0.0,0.0,0.0
Jacqueline Mckenna,458.0,458.0,461.0,461.7658100000003,471.7684900000001,501.77854,640.82276,0.0,0.0,0.0
Danny Smith,94.0,97.0,107.0,107.00737,0.0,0.0,0.0,0.0,0.0,0.0
Sam Steele,1301.0,1307.0,1330.0,1330.02814,1336.02814,1417.02881,1448.0335000000002,1508.10854,1491.0,1491.0
Katie Margaret Strang,837.0,843.0,860.0,860.00804,865.0087100000001,933.0093800000001,961.01005,1012.0361800000001,1027.92352,0.0
Conner Young,1017.0,1020.0,1020.0,1020.0408700000002,1056.0415400000002,1062.04221,1179.04824,1286.17554,1286.24358,1425.4489
