Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Yvonne Allan,843.0,873.6746999999998,873.6746999999997,881.4337999999999,908.9206999999998,989.6849,1324.1507,1120.0,1120.0
Christian Guy Allard,910.0,913.5705999999998,914.5705999999998,920.7328999999999,963.8951999999999,988.3820999999999,1013.3821,1037.65375,1159.2700800000002
Alan Donnelly,1337.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0
David Fryer,580.0,616.6798000000001,619.8421000000001,629.2242,681.1979999999999,754.7475,799.0197000000001,846.3432300000001,0.0
Catriona Mackenzie,847.0,851.2197999999997,851.2197999999999,854.2197999999997,915.3820999999997,956.3559,1001.3558999999999,1017.2814000000001,1143.1154099999999
Gregor Mcabery,286.0,332.7423999999997,333.74239999999975,340.01459999999986,377.47530000000006,0.0,0.0,0.0,0.0
William Allan Mcintosh,49.0,65.71689999999998,66.87919999999998,0.0,0.0,0.0,0.0,0.0,0.0
Renée Slater,269.0,274.68049999999994,275.68049999999994,282.81659999999994,0.0,0.0,0.0,0.0,0.0
Piotr Teodorowski,467.0,474.7904,474.7904,476.7641999999999,499.0888,547.4447,0.0,0.0,0.0
Billy Watson,10.0,10.4869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
