Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Sarah Elizabeth Anderson,259.0,263.0,264.0,281.0,281.20181,0.0,0.0,0.0,0.0
Derek Bibby,1204.0,1207.0,1209.0,1228.0,1220.0,1220.0,1220.0,1220.0,1220.0
Bill Binks,1062.0,1062.0,1082.0,1099.0,1099.5012700000002,1107.5012700000002,1204.19133,1204.6055299999998,1232.83947
Andy Doig,890.0,892.0,898.0,912.0,912.9960300000001,966.02207,1101.0181000000002,1102.4671400000002,1430.31336
William Duff,82.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Gilmour,613.0,616.0,616.0,621.0,626.1298799999997,657.2080000000001,0.0,0.0,0.0
Geoffrey Richard Knowles,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheryl O'Brien,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emma Rodden,1099.0,1106.0,1108.0,1111.0,1111.20181,1198.22134,1263.5793899999999,1220.0,1220.0
Graeme Ramsay Stockton,829.0,830.0,830.0,831.0,831.1953000000001,879.2148299999999,904.29946,942.5136399999999,0.0
