Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
William Bonnar,140.0,148.61718000000002,149.10255999999998,152.8877,154.26236,155.70539,0.0,0.0,0.0
Thomas Muirhead Connor,174.0,178.12126,178.19060000000002,179.56653,186.33864000000003,196.67546000000002,208.92297000000002,0.0,0.0
Moira Ann Crawford,445.0,461.11038,462.15048,468.8933899999998,480.0572699999998,492.01058,550.9183300000001,602.55141,0.0
Jean Douglas,35.0,37.997279999999996,38.06662,38.933040000000005,0.0,0.0,0.0,0.0,0.0
Jahangir Hanif,1442.0,1442.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0
Mhairi Hunter,1049.0,1081.5954199999996,1124.1701800000005,1135.1474999999998,1140.18217,1154.25305,1180.22597,1203.42473,1418.86276
David Mansfield Jago,55.0,60.6199,60.86259,63.48504,64.54588,0.0,0.0,0.0,0.0
Anne-Marie Millar,534.0,584.5791000000002,585.4111800000001,598.1956399999999,604.0513800000001,612.69731,633.64104,673.27412,822.67531
James Scanlon,2226.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0
Soryia Siddique,855.0,1482.180839999999,1482.180839999999,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0
