Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Robert Mathieson Barclay,118.0,118.12544,118.55824,0.0,0.0,0.0,0.0,0.0,0.0
Matt Kerr,1894.0,1894.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0
Judy Lockhart,1082.0,1082.3763199999999,1084.4754,1120.56196,1128.6365999999998,1166.853,1179.87464,1189.2942400000002,1197.00638
Elaine Mcsporran,1913.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0
Joe Murray,768.0,809.614719999999,811.2160799999995,816.3004399999994,836.6453999999993,846.8043999999999,927.47488,0.0,0.0
Isabel Nelson,182.0,182.43904000000003,184.19188000000003,190.30980000000002,196.38444,0.0,0.0,0.0,0.0
Alan Sharkey,233.0,234.34848000000008,235.14916000000005,244.17080000000007,268.42388000000005,308.74408000000005,0.0,0.0,0.0
Lynn Sheridan,131.0,132.12896000000006,132.95128000000005,140.95128000000005,0.0,0.0,0.0,0.0,0.0
Alistair Watson,1607.0,1608.12896,1636.9101600000008,1655.0400000000004,1677.3385599999997,1732.1153999999997,1781.5049199999999,1828.6744400000002,1912.14428
Alex Wilson,1333.0,1345.35584,1345.9833999999998,1349.9834,1371.3111199999998,1381.4723199999999,1455.12336,2192.4214,1853.0
