Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Peter Cairns,388.0,389.2726,393.27260000000007,396.27260000000007,406.3635,438.4544000000001,443.39137000000005,0.0,0.0,0.0
David John Chisholm,298.0,300.4088499999999,305.40885,318.59065,349.22695,0.0,0.0,0.0,0.0,0.0
John Robert Erskine,420.0,422.8179,424.81790000000007,429.86335,448.95425,486.0906,495.8332099999999,533.54829,554.61166,0.0
David James Forbes,90.0,90.49995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Lees,220.0,223.77234999999993,258.9086999999999,270.0904999999999,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Macdonald,99.0,99.99990000000001,104.99990000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Alexander Mackenzie,435.0,440.454,441.49945,441.54490000000004,465.86305,495.9994,503.19320000000005,835.74981,714.0,714.0
Alister Mackinnon,270.0,274.0450499999999,298.1814,315.2723,405.454,507.4084499999999,521.4275299999999,543.1564,563.73756,718.58572
Angela Maclean,598.0,607.3627000000002,613.4536000000003,646.6808500000001,693.2717000000002,768.1807,714.0,714.0,714.0,714.0
Margaret Paterson,748.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0,714.0
