Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Ann Bell,322.0,326.84079999999994,334.04249999999996,361.44589999999994,420.051,427.2527,446.29154,0.0,0.0
Charles Cummin Buchan,704.0,787.7055,792.9072000000001,802.1089000000001,817.714,1040.6273999999999,843.0,843.0,843.0
George Esslemont,87.0,88.2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doreen Mair,371.0,379.47139999999996,410.47139999999996,436.6730999999999,470.8748,483.2782,498.32893,625.9200799999999,0.0
Ricky Sheaffe-Greene,206.0,270.34229999999997,273.54400000000004,280.7457,282.7457,0.0,0.0,0.0,0.0
Bob Sim,259.0,261.62209999999993,266.62209999999993,275.62209999999993,0.0,0.0,0.0,0.0,0.0
Ian Tait,617.0,637.17,644.5734,666.9768,723.5819000000001,733.9853,759.26241,836.05706,993.30597
Ashara Taylor,172.0,173.61360000000002,176.81530000000004,0.0,0.0,0.0,0.0,0.0,0.0
Brian Topping,1056.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843.0
Michael Watt,417.0,432.3292,446.32920000000007,466.5309000000001,515.5309000000001,528.9343,547.70981,627.96211,783.61622
