Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Gary Barton,128.0,130.40863000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alasdair Duke - Wardrop,219.0,224.84952999999993,235.19361999999995,251.22589,264.91407,0.0,0.0,0.0,0.0,0.0
Fiacra Fullerton,302.0,325.39811999999995,349.74220999999994,373.7744799999999,382.49492999999995,420.83901999999995,446.24765,461.35742000000005,485.8412,0.0
Scott Gillespie,245.0,250.84953,257.84952999999996,260.53771,348.69906,371.04314999999997,409.10769,412.58571,0.0,0.0
Paul Graham,231.0,245.7958699999999,252.7958699999999,257.82813999999996,265.20449999999994,329.2690399999999,0.0,0.0,0.0,0.0
Danny Houston,195.0,217.36585,220.36585,225.70994,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Murray,126.0,134.94633999999996,140.29042999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Redmond,1982.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
Ruth Simpson,628.0,1035.0584699999993,1050.7466499999994,1072.1230099999996,1086.9402699999998,1115.3489,1189.88661,1199.81406,1271.90931,1393.86735
Alison E Thewliss,1143.0,1175.6885500000008,1196.6885500000005,1221.7208200000005,1231.4090000000006,1282.7530900000002,1360.1294500000004,1300.0,1300.0,1300.0
