Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Gordon Niven Allison,221.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bruce,837.0,841.0,868.0,889.0,918.0,1109.0,1113.2315,1157.4128500000002
Loretta Gardner,659.0,667.0,692.0,720.0,750.0,793.0,798.6822999999998,0.0
Tony Gurney,982.0,986.0,998.0,1033.0,1048.0,1081.0,1095.0848499999997,1149.93115
Marc A Head,588.0,595.0,609.0,620.0,714.0,0.0,0.0,0.0
John Hunter,792.0,796.0,833.0,895.0,1025.0,1191.0,1119.0,1119.0
Campbell Martin,235.0,237.0,250.0,0.0,0.0,0.0,0.0,0.0
Peter Mcnamara,721.0,730.0,738.0,770.0,812.0,871.0,881.7600999999999,1414.5736000000002
Nick Smith,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Tate,491.0,507.0,551.0,561.0,0.0,0.0,0.0,0.0
