Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Graham Campbell,1323.0,1323.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0
Christina Cannon,1013.0,1037.6412599999999,1043.16182,1049.16182,1058.5296,1059.2712000000001,1160.96646,1619.865,1315.0
Anthony Carroll,226.0,241.81454000000008,242.09842000000015,255.10446000000013,268.2078,287.31718000000006,0.0,0.0,0.0
Robb Maclean,105.0,112.72338,112.76566,114.76566000000001,120.50122,0.0,0.0,0.0,0.0
Paul Mccabe,494.0,502.09116,503.7582,505.12597999999997,508.12598,513.50584,534.5722800000001,0.0,0.0
Martin Mcelroy,2080.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0,1315.0
Euan Mchardy,681.0,709.6868400000001,709.70496,712.70496,727.44052,769.5438599999999,790.6472,797.0149799999999,806.4023200000001
Aileen Mckenzie,529.0,1135.836999999999,1135.9517599999992,1140.9517599999995,1167.4228799999999,1190.00338,1237.26772,1256.23412,1328.36142
Dave Semple,36.0,37.47112,37.4832,0.0,0.0,0.0,0.0,0.0,0.0
Robert Alexander Sykes,85.0,90.14892000000002,90.16100000000002,91.161,0.0,0.0,0.0,0.0,0.0
