Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Mohammed Asif,481.0,495.22084,504.07160999999985,505.0716099999998,510.316,529.1632400000001,615.8361600000001,0.0,0.0,0.0
Mark Flynn,1560.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0
Kristopher James Hall,101.0,106.01912000000002,108.76745999999999,139.05151999999998,141.15361000000001,0.0,0.0,0.0,0.0,0.0
Conor Andrew Marshall,232.0,252.35532000000006,291.61928,295.15922,327.96677,351.08033,0.0,0.0,0.0,0.0
Christopher John Mcintyre,57.0,60.903760000000005,62.282890000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Mcirvine,933.0,951.4034399999998,959.5278299999995,965.3643499999995,974.6706199999996,996.0755399999998,1059.9349599999996,1223.87527,1125.0,1125.0
Anne Rendall,925.0,1252.915839999997,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0
Wayne Frank Scott,82.0,84.78839999999998,90.69344000000001,93.97228000000001,0.0,0.0,0.0,0.0,0.0,0.0
Duncan Shaw,618.0,621.0672400000001,622.1066799999999,625.38552,628.44244,657.49936,663.9317100000001,709.84659,715.12164,0.0
Helen Wright,633.0,638.0191199999999,647.8957499999998,650.4534299999998,664.0218299999997,677.9152699999999,725.8747599999999,843.6627199999999,908.93781,1139.77011
