Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Brian Allan,123.0,142.23054,146.23054,148.623,0.0,0.0,0.0,0.0,0.0,0.0
Christian Allard,1646.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Paul Dawson,77.0,85.24166,87.24166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Fairfull,344.0,824.3710400000025,825.3710400000022,833.903180000002,891.6769800000015,928.6392800000006,929.1520099999999,950.1605500000001,969.7274800000001,1273.5000300000002
Esme Houston,390.0,433.17060000000026,433.17060000000026,438.56306000000023,458.52536000000015,513.8801200000003,514.65624,566.52664,599.6424000000001,0.0
Oren Katz,27.0,27.39246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Kusznir,970.0,975.8869000000001,982.8869000000001,988.8869000000001,996.6718200000001,1023.67182,1000.0,1000.0,1000.0,1000.0
Gregor Mcabery,318.0,327.41904000000005,329.41904,336.20396000000005,339.59642,372.38133999999997,379.08115999999995,0.0,0.0,0.0
Simon Mclean,238.0,247.41904,252.41904,305.59641999999997,331.7738,0.0,0.0,0.0,0.0,0.0
Simon Peter Watson,864.0,894.2194200000004,897.6118800000004,900.0043400000002,904.7892600000002,966.3591000000002,972.8268300000001,1138.47959,1000.0,1000.0
