Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
John Allison,216.0,237.0,256.0,305.0,330.0,0.0,0.0,0.0
Jim Anderson,313.0,339.0,353.0,391.0,412.0,542.0,658.0,687.0
Audrey E Forrest,575.0,580.0,593.0,600.0,616.0,638.0,670.0,1064.0
Bobby Good,534.0,539.0,557.0,584.0,602.0,643.0,732.0,732.0
Brian Logan,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keir Low,411.0,421.0,423.0,437.0,455.0,467.0,487.0,0.0
Gordon Mckinven,154.0,164.0,195.0,0.0,0.0,0.0,0.0,0.0
Jimmy Mcqueen,142.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Moreland,264.0,275.0,286.0,306.0,372.0,406.0,0.0,0.0
Mick Rice,195.0,203.0,216.0,227.0,0.0,0.0,0.0,0.0
