Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Frank Anderson,497.0,507.69024,518.69024,539.17616,542.41912,550.7715000000001,583.2574199999999,0.0
Damian Doran-Timson,1205.0,1212.53176,1238.53176,1279.0176800000004,1288.2606400000004,1310.28508,1316.7710000000002,1376.58684
Neal Drummond,436.0,474.14471999999995,478.38767999999993,534.0884000000001,541.5743200000001,559.85364,584.77556,685.95964
Robert Durie Howden,218.0,223.58808,229.58808,0.0,0.0,0.0,0.0,0.0
Ruth Hutchison,87.0,87.97183999999999,0.0,0.0,0.0,0.0,0.0,0.0
Carl John,1741.0,1318.0,1318.0,1318.0,1318.0,1318.0,1318.0,1318.0
Danny Logue,1079.0,1094.7924000000005,1106.0353600000005,1163.5212800000006,1437.4931200000003,1318.0,1318.0,1318.0
Andy Rafferty,312.0,317.8310399999998,318.8310399999998,330.07399999999984,0.0,0.0,0.0,0.0
Veronica Smith,622.0,906.9920799999996,915.2350399999999,927.2068800000001,936.1505599999999,945.6097199999999,1287.4487100000001,1499.04319
Thomas George Ullathorne,390.0,426.20104000000003,426.2010399999999,427.44399999999996,433.41584,435.18155,0.0,0.0
