Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Ruth Black,1220.0,1315.6642399999992,1324.8030999999992,1382.6362599999993,1462.0758099999998,1557.60327,1559.2183100000002,1641.6780399999998,1734.6677800000002
Scott R Coghill,457.0,500.65630000000033,508.1747800000003,525.5913600000003,631.58635,0.0,0.0,0.0,0.0
Mark Dingwall,225.0,234.3006899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iris Gibson,2729.0,2211.0,2211.0,2211.0,2211.0,2211.0,2211.0,2211.0,2211.0
Matthew John Kerr,1920.0,1972.9569900000035,1992.3366100000032,2007.8550900000027,2035.1328100000014,2123.87806,2127.54039,2177.84347,3083.2686400000002
Gordon Macdiarmid,1328.0,1350.3975799999998,1357.96701,1371.3466299999998,1387.4854899999996,1430.7632099999998,1435.98271,1493.1300800000004,0.0
Gordon Masterton,315.0,366.81813,390.57737,414.4245199999999,0.0,0.0,0.0,0.0,0.0
Wullie Mcgartland,224.0,247.5364399999999,256.48548999999986,0.0,0.0,0.0,0.0,0.0,0.0
Scott Alexander Petty,569.0,594.8141600000002,698.7122600000001,702.6613100000002,727.4065599999999,797.84611,798.34157,0.0,0.0
Alistair Watson,2065.0,2096.6982700000012,2103.888080000001,2132.596370000001,2161.4435200000007,2226.1887700000007,2211.0,2211.0,2211.0
