Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Paul Carey,2284.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0
Eileen Margaret Cartner Duke,260.0,283.2305299999999,300.6736699999998,305.0972599999998,319.1711699999999,361.95836999999995,428.04551,0.0,0.0,0.0
Mike Dyer,148.0,175.06237000000007,186.92653000000013,191.4142300000001,197.86887000000007,0.0,0.0,0.0,0.0,0.0
Jonathan Findlay,1102.0,1374.7791099999995,1385.0190099999995,1445.3465200000005,1455.7151800000001,1476.0221000000001,1524.8754000000001,1589.53779,1640.21076,1836.04397
Bobby Howie,177.0,184.1847,188.28066,190.13985000000002,0.0,0.0,0.0,0.0,0.0,0.0
Bill Kidd,1869.0,1869.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0
Alan Lee,349.0,364.56684999999993,379.96200999999985,385.28313999999983,400.6176599999999,415.48160999999993,454.82112,592.32585,755.13556,0.0
Susan Mccourt,412.0,419.66368,425.73699999999997,428.55784,517.9599599999999,520.72142,535.08591,558.44559,0.0,0.0
Esther Nixon,223.0,243.59614000000005,259.9093600000001,263.62774,267.07909000000006,321.65375000000006,0.0,0.0,0.0,0.0
Steven Purcell,1856.0,1856.0,1856.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0
