Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Sophie Bridger,45.0,49.579319999999996,53.98339999999999,53.98339999999999,61.52111,0.0,0.0,0.0,0.0
Joe Chambers,240.0,257.17245,273.04490999999996,278.95030999999994,283.08401999999995,295.1522,316.51881,343.27356,0.0
Gilbert Davidson,1643.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0
Jason Patrick Eccles,111.0,115.96093,120.62877,120.62877,122.11890000000001,134.18040000000002,139.30284,0.0,0.0
Phil Greene,888.0,932.64837,948.0365300000002,949.0365300000001,951.0907900000002,960.4433300000002,971.1205700000002,978.4937100000001,1039.53424
Christopher Henderson,21.0,28.25059,35.83891,36.110209999999995,0.0,0.0,0.0,0.0,0.0
Luke Ivory,22.0,24.28966,26.95944,0.0,0.0,0.0,0.0,0.0,0.0
James Oakes,330.0,342.59313,349.68759,351.82977,353.97194999999994,355.54999999999995,372.84648999999996,384.95959999999997,419.76207999999997
Allan Stewart,699.0,1184.407920000001,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0
John Stuart,61.0,65.57932,76.75229999999999,87.62403999999998,92.1057,101.02237,0.0,0.0,0.0
