Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Ritchie Cunningham,369.0,374.87655000000007,377.94910000000004,421.1667500000001,458.32755,0.0,0.0,0.0,0.0
Laurie Fraser,694.0,716.4904999999994,716.4904999999994,740.7081499999996,841.0454499999996,967.2944999999999,1009.0925500000001,1055.8883500000002,1491.26448
Stephen Fuller,586.0,590.7157499999995,598.7157499999996,603.7882999999997,634.8765499999997,657.0216499999999,0.0,0.0,0.0
Michael Green,558.0,571.0589999999996,573.0589999999997,584.2040999999997,658.6864999999998,758.7747499999999,792.863,824.5183999999998,0.0
Tom Heggie,1144.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0,1061.0
Liz Macdonald,647.0,654.90795,661.9805,666.1256000000002,686.92365,710.4314999999999,1228.68055,1061.0,1061.0
Andrew Mackintosh,147.0,148.8863,151.95885,0.0,0.0,0.0,0.0,0.0,0.0
Louis Mcintosh,32.0,32.50785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Mcivor,310.0,322.8413500000002,330.0590000000001,347.63939999999997,0.0,0.0,0.0,0.0,0.0
Peter Saggers,816.0,820.7882999999998,820.7882999999998,833.7882999999999,861.44125,941.0942,945.0942000000001,947.98977,1045.70635
