Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Stuart Leckie,105.0,115.49759999999999,115.55272000000001,126.55696000000002,144.14864,165.32776,0.0,0.0,0.0
Frank Mcaveety,1989.0,1409.0,1409.0,1409.0,1409.0,1409.0,1409.0,1409.0,1409.0
John Mclaughlin,1251.0,1283.0760000000005,1283.1947200000002,1285.1947200000002,1288.7779200000002,1301.07376,1331.3653599999998,1358.3653599999996,2168.08608
Adam Miller,921.0,937.9128000000002,938.0866399999999,942.08664,950.3782399999998,964.9826400000001,980.86592,1006.15752,0.0
Andy Muir,98.0,109.66400000000002,109.74456000000002,111.03616000000001,119.33200000000002,0.0,0.0,0.0,0.0
Colin Rutherford,63.0,69.12360000000001,69.20416,71.20416,0.0,0.0,0.0,0.0,0.0
George Ryan,1415.0,1415.0,1409.0,1409.0,1409.0,1409.0,1409.0,1409.0,1409.0
Anne Simpson,852.0,1289.1083999999996,1293.95048,1300.95048,1317.75096,1333.56296,1359.77904,1400.5456,1444.962
Richard Alan Sullivan,294.0,298.95720000000006,299.01656,313.30816,314.30816,332.89135999999996,344.89136,0.0,0.0
Marjory Marie Watt,52.0,52.8748,52.900240000000004,0.0,0.0,0.0,0.0,0.0,0.0
