Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Leslie Bain,635.0,646.6062400000001,648.9476000000001,653.2889600000001,664.2889600000002,673.6303200000001,682.97168,686.7387799999999,0.0
Keith Henry Barton,507.0,520.31304,522.99576,535.3612,539.70256,567.04392,0.0,0.0,0.0
Ken Caldwell,842.0,861.1161600000003,862.1161600000004,864.1161600000004,879.4575200000004,893.7988800000002,904.1402400000001,908.6842499999999,1444.71252
Eunice Cameron,57.0,61.77904000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Ferguson,78.0,83.46176000000001,93.14448,100.48584,0.0,0.0,0.0,0.0,0.0
David Graham,1661.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0
Ronald Hunter,137.0,148.26488,184.9476,195.9476,214.97168,0.0,0.0,0.0,0.0
John O'Brien,991.0,1014.8952000000003,1015.2365600000003,1020.2365600000003,1039.9192800000003,1059.6020000000003,1064.9433600000002,1074.50002,1161.43039
Rory Roberson,62.0,69.50992000000001,70.50992000000001,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Smart,498.0,914.4592000000007,918.8246400000005,935.5555200000003,946.6036800000002,999.43088,1195.59944,1094.0,1094.0
