Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Isobel Black,176.0,179.0156,179.37068,179.73303999999996,187.74917999999997,190.78145999999998,0.0,0.0,0.0,0.0
Hugh Dunsmuir,1144.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0
Jim Handibode,756.0,935.7297600000006,935.7297600000006,914.0,914.0,914.0,914.0,914.0,914.0,914.0
Michael Martin,234.0,238.22184,238.75445999999997,239.43755999999996,241.43755999999996,259.74476000000004,297.03358000000003,348.39206,0.0,0.0
Michael Mcglynn,209.0,212.01560000000003,212.35453999999996,213.56727999999995,213.56727999999995,216.96935999999997,253.24204,0.0,0.0,0.0
John Mcnamee,579.0,600.9133599999999,601.46212,617.40264,621.4258600000001,626.16588,638.65842,686.4628399999999,751.698,843.7273
John Mullen,470.0,472.21144000000004,483.7031199999999,484.22344,485.6739399999999,489.76880000000006,511.88178000000005,541.9882,580.79674,0.0
Bert Thomson,929.0,929.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0,914.0
Gavin Wallace,40.0,41.40728,41.71394,41.95087999999999,45.011039999999994,0.0,0.0,0.0,0.0,0.0
Mark Watson,32.0,33.0052,33.11818,33.183260000000004,0.0,0.0,0.0,0.0,0.0,0.0
