Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
George Alexander,1134.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
Andy Anderson,78.0,85.39656000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorna Creswell,575.0,650.4038200000007,675.4584200000007,690.0748000000003,814.9641800000004,866.4570000000003,870.5547999999999,987.22707,901.0,901.0
Jeff Hamilton,314.0,343.79170000000005,349.8190000000001,356.22991999999994,0.0,0.0,0.0,0.0,0.0,0.0
Paul Mcbain,466.0,483.4641,486.69686,507.1350799999999,529.39514,540.2169799999999,541.00131,0.0,0.0,0.0
Aaron John Mclean,547.0,559.1221400000002,568.5330600000002,574.7385200000001,588.3822,924.0804800000001,901.0,901.0,901.0,901.0
Paddy Meiklejohn,91.0,96.13650000000001,98.54742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irene Ogilvie,429.0,440.3003000000002,443.71122000000014,446.91668000000016,478.2040400000001,0.0,0.0,0.0,0.0,0.0
Anne Audrey Skene,410.0,441.22992000000016,450.84630000000016,468.66814,549.85924,569.32476,571.72837,731.5636200000001,764.22636,1072.4638
Fabio Villani,457.0,474.66956000000005,488.08048,492.4913999999999,524.16238,548.6006,551.8685800000001,614.1536100000001,630.6778899999999,0.0
