Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Eddie Anderson,384.0,392.84789999999987,421.99464999999964,433.5015499999997,452.5153499999998,600.7763999999999,656.7225999999998,679.9170099999999,0.0,0.0
Lawrence Fitzpatrick,2028.0,2028.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0
Cameron Glasgow,328.0,360.4422999999998,381.22519999999975,386.05979999999977,424.23589999999984,442.89129999999994,0.0,0.0,0.0,0.0
Margaret Hamilton,80.0,82.2939,86.60255000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Heggie,884.0,887.9324,945.7189999999999,953.5535999999998,983.6692499999999,1013.17615,1031.6057,1033.86188,1134.23877,1384.9298
Caron Lindsay,167.0,170.93239999999997,189.43424999999993,195.19459999999992,0.0,0.0,0.0,0.0,0.0,0.0
Maria Macaulay,2252.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0,1514.0
Moira Mckee Shemilt,698.0,1344.2244000000057,1374.131500000007,1385.459200000004,1402.5303500000011,1458.5677000000012,1631.4671999999998,1514.0,1514.0,1514.0
Eddie Millar,323.0,333.1586999999999,346.59154999999987,361.5915499999998,372.60534999999993,0.0,0.0,0.0,0.0,0.0
Craig Smith,422.0,429.8647999999999,735.5254999999987,745.285849999999,785.8893499999996,840.7591499999999,911.2439,930.69518,1106.98468,0.0
