Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Jamie Cole-Hamilton,135.0,138.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte Diana Cross,111.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoff Crowson,705.0,710.0,740.0,788.0,810.0,843.0,843.69016,845.05084,880.80163
Arif Mahmood,213.0,215.0,223.0,239.0,0.0,0.0,0.0,0.0,0.0
David Mair,744.0,750.0,774.0,797.0,812.0,862.0,864.07048,866.4812499999998,900.53769
Joanna Moore,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Owen,679.0,690.0,693.0,697.0,714.0,759.0,830.86291,833.6877999999999,0.0
Hannah Powell,871.0,883.0,885.0,889.0,902.0,1020.0,932.0,932.0,932.0
Anne Margaret Simpson,607.0,613.0,617.0,641.0,715.0,946.0,946.0,932.0,932.0
Norman John Smith,527.0,535.0,551.0,561.0,597.0,0.0,0.0,0.0,0.0
