Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Paul Carey,2011.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0
Patricia Ferguson,747.0,1191.4628999999995,1208.5866999999994,1240.1486,1251.99145,1368.47705,1495.41035
Fyeza Ikhlaq,945.0,959.0474999999998,969.3284499999996,971.3284499999997,1278.4189000000001,1366.2284,1626.07125
Elspeth Kerr,376.0,408.87114999999994,434.43305,453.714,463.55685,0.0,0.0
Anne Mctaggart,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0
Joe Meehan,106.0,111.89995,0.0,0.0,0.0,0.0,0.0
Cylina Porch,350.0,358.4285,368.9904000000001,373.27135000000004,0.0,0.0,0.0
Richard Frank Stalley,118.0,122.21425000000002,127.05709999999999,0.0,0.0,0.0,0.0
Pauline Sutherland,689.0,700.7999,701.08085,724.4856,727.0475,771.1713,792.1713
Duncan Webford,438.0,444.4618500000001,475.02375,497.58565,523.4285,609.7999,0.0
