Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Ann Bell,262.0,291.6170000000001,298.78624000000013,313.2939600000001,362.2328000000001,0.0,0.0,0.0,0.0
Charles Cummin Buchan,614.0,617.0463199999997,757.5540399999996,782.5540399999996,810.5540399999996,854.7387199999995,859.1310199999997,909.5481899999999,998.7185000000001
David Donn,256.0,257.18468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Kille,1229.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0,1021.0
Doreen Mair,743.0,781.2482399999998,790.2482399999998,873.10988,949.97152,1060.94124,1021.0,1021.0,1021.0
Charlie Reid,252.0,258.0926400000001,267.0926400000001,0.0,0.0,0.0,0.0,0.0,0.0
Ian Tait,496.0,528.6633200000001,531.6633200000001,564.3402800000001,589.5249600000001,636.78684,643.6390700000001,743.1482599999999,0.0
Brian Anderson Topping,652.0,653.0154399999999,709.1846799999998,731.1846799999998,762.6923999999998,776.0308799999999,780.4978799999998,826.5012899999999,968.4528399999999
Kenneth Duncan Watt,267.0,281.72388000000007,286.89312000000007,311.06236000000007,0.0,0.0,0.0,0.0,0.0
Michael Watt,329.0,351.8474000000001,358.8474000000001,396.6936,429.04752,470.10928,478.30902000000003,0.0,0.0
