Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Anne Julia Campbell,214.0,216.17669999999998,226.69737999999992,241.08345999999992,0.0,0.0,0.0,0.0,0.0,0.0
Serena Mary Cowdy,1440.0,1440.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0
David Fairweather,524.0,538.1485499999999,541.4302299999999,555.5267499999998,588.6130999999999,634.6831099999999,751.6503099999999,1012.83518,1020.5131100000001,1320.29567
Rod Falconer,286.0,297.31883999999997,299.0562,302.24924,338.2535299999999,0.0,0.0,0.0,0.0,0.0
Lisa Keogh,86.0,86.21767,88.72719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louise Nicol,1663.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0,1301.0
Pamela Ruddy,423.0,432.5774799999999,434.0252799999999,438.0252799999999,464.4113599999999,560.1918099999999,0.0,0.0,0.0,0.0
Martin Shepherd,913.0,914.95903,1027.3083100000013,1057.6595900000011,1135.54731,1161.1264299999998,1236.0814599999999,1337.36085,1301.0,1301.0
Juliet Vivers,376.0,670.7251799999998,670.9182199999997,674.2324099999997,682.6677499999998,729.1504699999999,807.37455,894.7033200000001,895.83115,0.0
Ian Wren,578.0,585.1831099999999,587.1135099999999,599.30655,617.4995899999999,664.5633099999999,748.6598299999998,0.0,0.0,0.0
