Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
John Campbell,858.0,862.7500500000003,863.3232899999995,887.7079799999997,901.7695099999999,922.71952,950.35286,1379.72209,1012.0,1012.0
Niall Cowan,196.0,246.35052999999985,247.12470999999994,252.05172999999996,278.76333,321.56111999999996,0.0,0.0,0.0,0.0
Andrew Crosbie,153.0,188.15036999999998,188.47437,192.81155,210.45914000000002,0.0,0.0,0.0,0.0,0.0
John Dennis,126.0,151.01693,151.67117000000002,168.33656,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Johnstone,1481.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0
John Martin,424.0,463.9004199999998,478.7197500000003,500.80436000000014,523.6633100000001,540.9775000000001,579.7225900000001,599.28538,682.96937,837.93563
Elaine Murray,961.0,1033.20076,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0,1012.0
Sandy Rogerson,121.0,133.66680000000002,134.21953000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Robert Slater,297.0,362.55068999999986,363.4253399999999,380.02023000000014,401.1779600000001,459.13325,586.29929,606.99416,676.461,0.0
Alastair Witts,438.0,441.4833699999999,441.96054999999996,468.69644,488.37080000000003,493.70798,507.6785000000001,0.0,0.0,0.0
