Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Bill Cowan,61.0,61.07552,64.07552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ewan Dillon,842.0,846.9087999999998,850.9087999999998,856.9087999999998,901.1353599999998,910.1353599999999,957.4407699999999,971.22867,1330.52481,1577.0090500000001
Douglas Dodds,1536.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0,1420.0
Graham Houston,1266.0,1267.963520000001,1268.963520000001,1292.963520000001,1317.2656000000009,1815.3411200000005,1420.0,1420.0,1420.0,1420.0
Ahsan Khan,564.0,564.22656,564.22656,569.22656,581.22656,0.0,0.0,0.0,0.0,0.0
Alastair George Majury,377.0,382.21088000000015,387.21088000000015,396.2108800000001,0.0,0.0,0.0,0.0,0.0,0.0
Fayzan Rehman,665.0,669.1536,674.22912,674.22912,748.2864,760.2864,785.5806,799.5954,0.0,0.0
Willy Stirling,598.0,686.2073599999999,701.4339200000001,705.43392,819.0016,819.0016,823.27075,824.93741,956.00173,0.0
Alasdair Tollemache,1138.0,1141.0207999999998,1147.0207999999996,1156.0207999999998,1207.47392,1260.5494400000002,1466.3914099999997,1420.0,1420.0,1420.0
Nickie Willis,50.0,50.302080000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
