Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Jim Blackwood,965.0,976.2696599999999,976.5094399999999,996.7492199999999,1019.2287799999999,1020.5674400000001,1233.78447,1359.61373,1265.0,1265.0
Cheryl Brind,119.0,122.83648000000001,125.07626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiona Elizabeth Collie,884.0,1200.2698199999986,1210.989159999999,1255.1471799999995,1274.1062999999997,1265.0,1265.0,1265.0,1265.0,1265.0
Paul Garner,1664.0,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0,1265.0
Khalid Hamid,314.0,322.87185999999997,323.11163999999997,333.35142,355.83098,356.51303,0.0,0.0,0.0,0.0
Nigel Harris,916.0,918.15802,918.15802,924.15802,950.15802,950.3944499999999,964.42643,1068.91283,1086.45777,1314.59382
Brian Mccabe,687.0,719.1305199999998,722.8498599999998,737.5691999999998,780.5691999999999,782.4520000000001,811.8940499999999,984.91625,1002.9710299999999,0.0
Sean Mellon,19.0,21.637579999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anne Montgomery,231.0,232.91823999999997,235.15801999999996,247.39779999999996,0.0,0.0,0.0,0.0,0.0,0.0
Alexander John Waddell,522.0,528.4740599999999,529.4740599999999,537.7138399999999,615.95362,616.69471,640.97019,0.0,0.0,0.0
