Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Charlotte Ahmed,318.0,338.98791,375.37605,414.52473,414.65545,421.81873999999993,0.0,0.0,0.0,0.0
Liz Cameron,2744.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0
Sue England,402.0,426.09723000000014,464.02833000000015,500.63052000000005,500.755,517.0158099999999,640.34862,820.90265,960.71529,0.0
Robert Findlay,191.0,201.10529,205.60558999999998,214.37706999999997,214.44335999999996,0.0,0.0,0.0,0.0,0.0
Graeme Hendry,2333.0,2333.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0
Peter Lavelle,145.0,156.14173000000005,177.10027000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Mcfadden,1115.0,1450.80656,1478.5798400000006,1500.8769700000007,1503.2132399999998,1523.8579,1576.39059,1681.40191,1770.9126800000001,2013.6951
James Paris,483.0,508.65189000000004,544.13997,563.36227,563.5068699999999,576.44955,614.21967,0.0,0.0,0.0
Paul Rooney,1895.0,2007.4537399999995,2026.2264200000002,2037.2013099999997,2033.0,2033.0,2033.0,2033.0,2033.0,2033.0
Matthew T Smith,534.0,544.3643999999999,557.47956,558.8652999999999,558.9599599999999,652.28827,659.83524,746.16689,0.0,0.0
