Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Danish Ashraf,1007.0,1331.2202600000026,1335.653420000001,1337.6534200000008,1443.5332000000003,1436.0,1436.0,1436.0,1436.0,1436.0
Calum Currie,1186.0,1189.2487,1192.2487,1205.2487,1216.2487,1216.50412,1299.9395399999999,1334.1647199999998,1362.17594,1716.42686
Tom Fisher,856.0,864.0134600000001,865.2300400000001,870.2300400000001,898.9626800000001,900.20092,967.9312600000001,1584.51316,1436.0,1436.0
Kevin Hamilton,281.0,296.8103399999999,303.02691999999985,305.0269199999999,0.0,0.0,0.0,0.0,0.0,0.0
Alan Masterton,1833.0,1436.0,1436.0,1436.0,1436.0,1436.0,1436.0,1436.0,1436.0,1436.0
Barry Mcculloch,721.0,729.87978,734.87978,740.09636,758.7461000000001,759.39749,808.28804,0.0,0.0,0.0
John Miller,27.0,28.299480000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fraser Morrison,509.0,517.4466200000002,518.4466200000002,520.6632000000002,572.5295200000002,573.7567899999999,0.0,0.0,0.0,0.0
Alan O'Brien,711.0,721.61242,722.8290000000001,732.8290000000001,769.12848,769.9060499999999,1009.1879800000002,1051.29329,1075.49306,0.0
Carl Dean Pearson,45.0,45.43316,45.43316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
