Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Chris Barr,377.0,377.37309999999997,377.37309999999997,377.37309999999997,409.4018,0.0,0.0,0.0,0.0,0.0
Tom Barr,537.0,538.4924,542.4924,558.5211,604.6645999999998,742.7506999999999,746.7912,763.9782299999999,765.20601,0.0
Marie Burns,917.0,941.1367000000001,941.1367000000001,960.2801999999998,998.3662999999997,1039.5672,1015.0,1015.0,1015.0,1015.0
John Easdale,643.0,643.2869999999999,645.2869999999999,652.3156999999999,673.3157,697.3157,700.1125700000002,874.55245,886.63844,1098.75017
Ruby Kirkwood,263.0,263.45919999999995,263.45919999999995,267.48789999999997,0.0,0.0,0.0,0.0,0.0,0.0
David Logan,413.0,413.6888,415.6888,428.6888,445.6888,452.6888,454.5297500000001,0.0,0.0,0.0
James Mcdaid,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denise Morton,89.0,89.3157,98.3157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irene Oldfather,763.0,764.4062999999996,766.4062999999996,782.4349999999996,819.6071999999997,851.6358999999999,854.0774700000001,1032.5004199999998,1015.0,1015.0
Joan Sturgeon,1045.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0
