Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Gisela Allen,106.0,110.0484,110.06324,114.06324000000001,0.0,0.0,0.0,0.0,0.0,0.0
Bill Butler,2020.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0
Samuel Cook,62.0,65.2108,65.36662000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Cullen,1751.0,1751.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0
Chris Cunningham,1221.0,1233.5639999999996,1243.5884200000003,1261.92698,1269.3531999999998,1282.3531999999996,1424.8247799999995,2345.4766799999998,1738.0,1738.0
Gillian Macdonald,439.0,445.28199999999987,445.7049400000001,460.4029400000001,478.68214000000006,525.24054,0.0,0.0,0.0,0.0
Eva Murray,912.0,1117.211999999998,1117.464279999998,1123.6107599999987,1140.8443599999996,1183.9611599999998,1293.35608,1340.97384,1506.30321,1975.25558
Tariq Parvez,1060.0,1070.7491999999997,1070.80856,1072.94816,1108.08776,1161.92536,1191.35158,1203.35158,1217.66305,0.0
Roza Salih,926.0,927.9543999999997,929.41614,934.578,935.5780000000001,941.7175999999998,1066.9165600000001,0.0,0.0,0.0
David Walker,191.0,194.62960000000004,194.64444000000003,197.64444000000003,207.64444,0.0,0.0,0.0,0.0,0.0
