Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Alexander Belic,1244.0,1249.0,1252.0,1258.0,1271.0,1353.0,1500.59106,1500.59106,1452.0,1452.0
Lorraine Duncan,115.0,120.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Fiddy,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gordon Fraser,486.0,500.0,509.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0
Qasim Hanif,620.0,623.0,623.0,624.0,627.0,0.0,0.0,0.0,0.0,0.0
Mhairi Hunter,1287.0,1292.0,1298.0,1301.0,1309.0,1637.0,1452.0,1452.0,1452.0,1452.0
Cass Macgregor,819.0,829.0,856.0,870.0,944.0,971.0,991.3418,995.61175,1012.43328,0.0
James Scanlon,1190.0,1194.0,1216.0,1237.0,1383.0,1393.0,1398.53749,1434.4422,1439.13105,1886.22001
Soryia Siddique,1331.0,1334.0,1356.0,1361.0,1408.0,1508.0,1508.0,1452.0,1452.0,1452.0
Chris Young,104.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
