Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Andrew Barnett,141.0,152.0,162.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Cameron,769.0,770.0,772.0,773.0,796.0,797.3708799999999,809.58508,867.8635400000001,822.0,822.0
Donald Mackenzie,420.0,421.0,424.0,437.0,455.0,457.05632,510.3201,526.55572,527.45739,0.0
Luigi Andrew Mackinnon,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kate Maclean,589.0,589.0,591.0,593.0,612.0,613.97064,628.16342,766.72034,807.3590899999999,867.70116
Bet Mcallister,793.0,793.0,805.0,811.0,840.0,822.0,822.0,822.0,822.0,822.0
John William Mccoll,45.0,50.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Rattray,211.0,211.0,212.0,218.0,229.0,234.5049400000001,0.0,0.0,0.0,0.0
Sean Robertson,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arun Sharma,245.0,250.0,258.0,262.0,292.0,293.77786000000003,347.6775,0.0,0.0,0.0
