Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Kate Campbell,1692.0,1692.29444,1694.29444,1710.29444,2254.36805,1963.0,1963.0,1963.0
Gerald Edwards,622.0,622.2944399999999,622.2944399999999,627.2944399999999,0.0,0.0,0.0,0.0
Annette Ireland,2119.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
Gordon Keenan,717.0,736.8010899999995,745.0955299999997,780.1691399999999,787.3163599999999,795.7169599999997,846.80482,0.0
David Macdonald,1407.0,1415.2443200000005,1425.2443200000002,1448.3915399999998,1471.39154,1541.18114,1868.09564,2017.42741
David Tam Mcdonald,724.0,838.1691100000007,852.3163300000011,862.5371599999999,863.61077,866.8512799999996,894.6525199999999,1232.7316999999998
Stewart Miller,624.0,625.9874699999997,633.9874699999998,656.1346899999998,673.1346899999998,718.1292299999997,0.0,0.0
Katie Victoria Pragnell,1647.0,1653.9929500000005,1656.9929500000003,1728.2137799999996,1743.2137799999998,1797.6238199999996,1908.0899,2115.6282499999998
Daphne Vlastari,203.0,203.80971000000002,205.80971,0.0,0.0,0.0,0.0,0.0
Colette Walker,57.0,57.515269999999994,0.0,0.0,0.0,0.0,0.0,0.0
