Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Alex Dingwall,703.0,715.2034600000002,724.83887,733.2759000000001,1007.4311500000001,1217.3644199999999,1236.44217,0.0
Euan Erskine,582.0,585.91716,589.98846,593.2748300000001,0.0,0.0,0.0,0.0
John Letford,1761.0,1761.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0
Steen Parish,555.0,564.49158,580.77678,645.38919,716.41391,0.0,0.0,0.0
Mohammed Razaq,1215.0,1425.0200399999999,1436.82681,1466.01714,1509.0119599999998,1652.6985300000001,1522.0,1522.0
Martin Rhodes,1792.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0
Franny Scally,854.0,863.64224,1044.54367,1073.2371699999999,1098.72998,1260.2843,1283.98324,1574.0123899999999
Liam Turbett,143.0,146.61584,148.51578000000003,0.0,0.0,0.0,0.0,0.0
