Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Liz Allan,1360.0,1361.0,1363.0,1383.0,1815.0,1815.0,1713.0,1713.0
Alison Carter,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacq Cottrell,901.0,903.0,910.0,1006.0,0.0,0.0,0.0,0.0
George Henry Cowen,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Findlay,1389.0,1390.0,1395.0,1431.0,1468.0,1510.93192,1521.77659,2714.06648
Judy Lockhart-Hunter,1280.0,1282.0,1288.0,1338.0,1373.0,1410.30365,1418.00168,0.0
Carol Mcfarlane,1447.0,1449.0,1452.0,1620.0,1971.0,1713.0,1713.0,1713.0
Stuart Smith,425.0,425.0,429.0,0.0,0.0,0.0,0.0,0.0
