Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Kevin Ferguson,150.0,150.77506,151.69747999999998,0.0,0.0,0.0,0.0,0.0
Joan Griffiths,2174.0,2174.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0
Jason Lingiah,866.0,867.1327799999999,868.3536300000001,877.40789,911.57871,1080.97729,0.0,0.0
Alex Lunn,886.0,887.9376500000001,935.0624599999999,954.55348,1080.40255,1261.56345,1430.4125199999999,1740.24761
John Palmer,590.0,592.4146099999999,594.5578799999998,661.8995199999999,0.0,0.0,0.0,0.0
Gary John Peacock,673.0,675.77233,677.9969900000002,688.08374,836.61529,0.0,0.0,0.0
Stefan Tymkewycz,2180.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0
Colin Williamson,937.0,989.9127499999996,991.1064699999997,1008.3992099999999,1138.6458699999998,1260.94679,1354.77611,0.0
