Candidate,Round 1,Round 2
Alan Beddows,223.0,229.1893
Brian Gordon,1033.0,1033.0
Curtis Large,350.0,351.4282999999999
Tracy Mulholland,50.0,51.90440000000001
Gregor Murray,1256.0,957.0
Alison Catherine Orr,62.0,71.04590000000002
Willie Sawers,800.0,1057.5700999999997
Michael Taylor,52.0,56.522949999999994
