Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Agnes Coyle,771.0,784.3735,833.38467,853.70726,877.63587,910.9447199999998,945.31108,1351.7349
Michael Coyle,1155.0,1155.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
Tom Curley,1488.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
David Fagan,959.0,1290.9302700000003,1290.9302700000003,1090.0,1090.0,1090.0,1090.0,1090.0
John Love,224.0,229.88434000000004,232.30395000000001,250.84023000000002,296.17227,0.0,0.0,0.0
John Mcgeechan,188.0,194.95422000000002,196.36097,216.25827000000004,0.0,0.0,0.0,0.0
Nancy Pettigrew,407.0,411.81446000000005,418.62313000000006,425.6723400000001,446.97194,490.33499,540.4967899999999,0.0
Eric Young,254.0,257.20964000000004,257.6598,262.98798,297.13906000000003,384.16702999999995,0.0,0.0
