Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
David Higgins,111.0,120.92082000000002,127.79731999999998,206.37535999999994,219.97312999999997,235.61446,0.0,0.0
Cameron Inglis,742.0,745.4507199999999,772.5522199999999,776.21651,814.3843299999999,828.57522,857.16292,1103.18429
Jean Mcclung,1908.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0
Ronnie Mcnicol,366.0,394.0371,448.2401000000001,486.32012,527.2172099999999,605.3626899999999,702.05283,0.0
Davina Mctiernan,666.0,1402.2973799999993,1402.2973799999993,1085.0,1085.0,1085.0,1085.0,1085.0
Jimmy Miller,95.0,97.58804,119.43104,140.76908,182.14884999999998,0.0,0.0,0.0
Jim Montgomerie,1822.0,1822.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0
John Sweeney,796.0,811.52824,1350.3222400000002,1350.3222400000002,1085.0,1085.0,1085.0,1085.0
