Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
William Hannah Boyle,1806.0,1806.0,1483.0,1483.0,1483.0,1483.0,1483.0,1483.0
Harry Cartmill,2496.0,1483.0,1483.0,1483.0,1483.0,1483.0,1483.0,1483.0
Gordon Dent,67.0,74.30511999999999,83.06828,84.93545999999998,0.0,0.0,0.0,0.0
Siobhan Flannigan,281.0,323.2073600000001,350.74872000000005,360.39501999999993,392.21504999999996,424.81417,0.0,0.0
Charles Kennedy,1048.0,1162.44688,1167.27556,1167.55874,1174.14628,1208.3447999999999,1236.08994,0.0
John Swanson Mackenzie,150.0,186.11975999999996,191.48495999999994,192.1883799999999,195.04639999999995,0.0,0.0,0.0
Tony Pearson,375.0,1015.4155200000005,1023.4633200000005,1026.5552400000001,1034.2616799999998,1093.50482,1246.0225799999998,1773.9841900000001
Pauline Stafford,1190.0,1264.6745600000002,1507.1816000000006,1483.0,1483.0,1483.0,1483.0,1483.0
