Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Thomas Adams,872.0,879.0862999999999,883.6976,886.94873,901.1513199999999,988.56598,1001.1514699999999,0.0
David Alexander,1506.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0
Colin Davidson,885.0,892.8565499999999,900.2831699999999,902.6313800000001,913.4818499999999,1109.72026,1124.09477,1972.8899
Craig Duncan,25.0,27.4648,28.289979999999993,0.0,0.0,0.0,0.0,0.0
Iain Morrice,115.0,122.08629999999998,124.27060000000002,127.57027000000002,0.0,0.0,0.0,0.0
Graham Ritchie,1339.0,1339.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0
Alistair Suttie,1002.0,1194.8705999999995,1196.1811799999996,1204.87573,1256.9994900000002,1348.95999,1274.0,1274.0
Steve Wood,625.0,628.23505,652.9904500000001,656.2816900000001,687.56059,0.0,0.0,0.0
