Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
William Black,87.0,90.0,90.63720000000004,0.0,0.0,0.0,0.0,0.0
Steve Burgess,1869.0,1883.0,1873.0,1873.0,1873.0,1873.0,1873.0,1873.0
Margaret Lea,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gordon Mackenzie,1308.0,1341.0,1343.2779900000005,1348.3257800000003,1350.8060099999996,1548.3759,1551.52409,0.0
Gordon Murdie,892.0,895.0,896.2319200000004,921.3487400000004,922.92404,0.0,0.0,0.0
Jim Orr,1717.0,1723.0,1724.7523000000008,1741.8903600000003,1744.00407,1886.44769,1873.0,1873.0
Ian Perry,1851.0,1856.0,1858.389500000001,1885.5222500000004,1873.0,1873.0,1873.0,1873.0
Cameron Rose,1565.0,1568.0,1568.45135,1570.45666,1571.35357,1855.54878,1856.9672799999998,2501.42694
