Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Ross Gowland,1144.0,1199.93952,1204.4457599999998,1390.6704,1316.0,1316.0,1316.0,1316.0
George Greenshields,635.0,682.5865600000004,688.0928000000002,701.61152,719.1347500000002,867.5789599999999,987.52126,0.0
Mark Horsham,1762.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0
Ross Lambie,986.0,993.5935999999999,1006.5936,1019.84672,1031.9018,1094.30544,1119.75967,1447.15864
Janice Mackay,52.0,57.568639999999995,0.0,0.0,0.0,0.0,0.0,0.0
Colin Mcgavigan,298.0,329.38687999999996,341.1462399999999,345.1712,352.09922,0.0,0.0,0.0
Ann Mcguinness,164.0,324.2249599999999,330.49055999999996,344.28736,352.32708,392.10975,0.0,0.0
Imogen Walker,219.0,248.61503999999996,251.12127999999996,0.0,0.0,0.0,0.0,0.0
