Candidate,Round 1,Round 2,Round 3
David Alexander,2077.0,1312.0,1312.0
Eugene Mcdonald Clarke,1268.0,1307.7774799999997,1312.5300800000005
Colin Davidson,1348.0,1348.0,1312.0
Iain Duncan Morrice,156.0,199.46057999999996,200.31498
Graham Ritchie,683.0,686.6831,688.5254
Davina Graham Saunders,49.0,52.6831,52.9501
Alistair Belford Suttie,707.0,1323.18263,1323.18263
Jacob Stewart Winton,271.0,287.20564,310.8618400000001
