Candidate,Round 1,Round 2,Round 3
Anil Alexander,72.0,73.9512,75.19927999999999
Mary Bain-Lockhart,1230.0,990.0,990.0
Linda Wilson Martin Erskine,925.0,1115.2419999999993,1115.2419999999993
Margaret Fairgrieve,379.0,385.04872,385.82876999999996
Rosemary Liewald,1173.0,1173.0,990.0
Lea Mclelland,965.0,983.3412799999995,1143.4075399999997
Russel Mcphate,88.0,94.24384,95.33591000000001
Danny Oswald,115.0,117.14632,126.50692
