Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Roddy Mackay,176.0,182.0,186.0,197.0,201.47426000000002,0.0,0.0,0.0
Iain Murdoch Macleod,177.0,188.0,205.0,250.0,255.46854,302.10772000000003,303.26472,384.87079
Calum Macmillan,92.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
Iain Archie Macneil,138.0,147.0,159.0,0.0,0.0,0.0,0.0,0.0
Donnie Steele,155.0,161.0,180.0,200.0,206.88894,253.1673,254.67538000000002,0.0
Paul Francis Steele,275.0,290.0,305.0,352.0,327.0,327.0,327.0,327.0
Susan Thomson,221.0,230.0,243.0,262.0,266.75834000000003,332.6816,327.0,327.0
Andrew Veitch Walker,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
