Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Heather Anderson,1160.0,1153.0,1153.0,1153.0,1153.0,1153.0,1153.0
John Anderson,984.0,984.1507500000002,987.1507500000002,1003.1628100000001,1018.1869300000001,1030.21105,0.0
Kris Chapman,768.0,769.1698200000003,783.1698200000002,820.2421800000002,891.3748400000002,1073.14163,1192.20193
Tommy Davidson,170.0,170.57285,190.59696999999997,0.0,0.0,0.0,0.0
Catriona Hamilton,218.0,221.32856000000007,238.38283,262.60594,332.81096,0.0,0.0
Michael Needham,73.0,73.09648,0.0,0.0,0.0,0.0,0.0
Julia Reid,201.0,201.53667000000004,205.53667000000002,224.57888000000003,0.0,0.0,0.0
Eric Small,1036.0,1036.18693,1040.19296,1097.24723,1115.27135,1123.28944,1928.30753
