Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Balarabe Baba,87.0,93.62399999999997,93.64889999999998,0.0,0.0,0.0
David Bennie,137.0,151.57279999999997,151.60516999999996,177.36765999999997,206.60695999999996,0.0
Stephanie Callaghan,1201.0,1201.0,1198.0,1198.0,1198.0,1198.0
Jason Douglas,521.0,522.4352,525.06215,541.1273099999999,603.22484,632.58094
Steven Hannigan,152.0,154.208,154.29763999999997,164.80439999999996,0.0,0.0
Martin Grant Hose,1268.0,1198.0,1198.0,1198.0,1198.0,1198.0
Davie Mclachlan,1128.0,1144.2288,1144.3109700000005,1158.0285700000002,1180.25933,1238.73053
Nina Reeves,296.0,300.63680000000005,300.67913000000016,304.8447300000001,319.9049100000001,342.83940000000007
