Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Wendy Agnew,1147.0,1147.0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0
Dawn Black,951.0,968.0956500000002,969.0109500000004,1023.5215000000003,1104.4996500000002,1214.64279,1112.0,1112.0
Raymond James Christie,383.0,412.2897500000001,414.51698000000005,453.46213000000006,0.0,0.0,0.0,0.0
Sarah Dickinson,1263.0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0
Dennis Robertson,550.0,563.6287000000001,564.3609400000003,601.2152100000003,643.60621,721.0451400000001,808.44429,0.0
Rachel Katherine Shanks,173.0,191.76935000000003,192.28802000000005,0.0,0.0,0.0,0.0,0.0
Ma Simpson,462.0,488.6596500000002,490.79535000000016,517.5014000000001,630.72731,0.0,0.0,0.0
Alan Turner,630.0,651.9972,677.0764200000001,681.30492,721.28741,852.17643,853.65991,1018.18142
